,topic,keyword,utterances_text
134,건강 및 식음료,아사히 생맥주 캔 유행,"지붕 위에서 오랜만에 맥주 한 잔하는 거 어때?
좋다~ 맥주는 벌써 챙겨뒀다는 소리야?
음식 까다로운 내가 새로 나온 맥주 챙겨뒀지~ㅎㅎ
오! 새로 나온 맥주 있어? 뭐야??
아사히에서 슈퍼 드라이라는 신제품 맥주 나왔어~ㅎㅎ
우와~. 원래 아사히하고 뭐가 달라?
이 맥주캔은 진짜 독특해!ㅎㅎ 참치캔처럼 뚜껑 열리고 그래. 컵에 따라 마시는 느낌남~ㅎㅎ
와!! 누가 그런 아이디어를 내다니~. 맛은 어때??
엔젤링이라고 불리는 거품이 있어서 맛이 진짜 부드럽고 탄산도 적당해서 좋아~
이게 언제 나온 건데? 나는 왜 몰랐지?
5월에 한정판으로 나왔다가 7월에 우리나라 전용 디자인으로 정식 출시됐어~
꽤 됐는데 나는 몰랐네ㅎㅎ
인기 많아서 슈퍼에서도 잘 안 보였을 거야~
네 덕에 그렇게 찾기 힘든 맥주를 맛볼 수 있겠네~ㅎㅎ
나 혼자서 다 마시기 전에 얼른 와~!!
알겠어! 치킨도 사가지고 갈게~"
210,건강 및 식음료,코로나19,"헬롱! 요즘 코로나19 때문에 걱정이 많이 돼.
응, 나도 그래. 건강 관리가 중요하다고 하더라.
마좌 특히 수능을 앞두고 건강 상태를 잘 관리해야 해.
그래서 감기나 독감에 걸리면 어떻게 해야 해?
시험 뒤로 치료를 미루기 보다는 즉시 병원을 찾아야 해.
그래야 빨리 회복할 수 있겠지?
마좌 그리고 감기 등 질환은 가급적 빨리 치료해야 해.
근데 항히스타민제 처방은 피하는 게 좋다고 들었어.
ㅇㅇ 항히스타민제는 운동 전후 스트레칭으로 관절 통증을 예방하는 게 좋대.
그리고 낮 시간에 20분 산책도 권장한대.
그래서 우리도 수능 공부하면서 건강도 잘 챙겨야 해!
마좌 건강이 최고야! 건강한 몸으로 수능을 잘 보자!
ㅋㅋ 그래! 건강한 몸으로 좋은 성적을 받자!
ㅎㅎ 그럼 ㅎㅇㅌ!
그래! 건강하게 수능을 잘 보자!
그래! 같이 화이팅하자!"
31,건강 및 식음료,아사히 생맥주 캔 유행,"혹시 너 아사히 생맥주 캔 먹을 생각없니?ㅋㅋ
오ㅋㅋ. 그거 짜짜 유명한거잖아ㅋㅋ. 구하기 힘들다고 그러던데ㅋㅋ. 너는 어케 구함?
요즘엔 물량이 많이 풀려서 대형마트에서 묶음으로도 구입 가능하더라ㅋㅋ. 나 묶음으로 샀더니 너무 많은거 같아서ㅠㅠ
나야 준다면 고맙지ㅋㅋ. 먹어보고 싶었는데 못구해서 포기했었거든ㅋㅋ
다행이네ㅋㅋ. 이거 레알 맛나더라ㅋㅋ. 거품이 엄청 부드러워서 목넘김이 좋더라고ㅋㅋ
최고인걸?ㅋㅋ 안주는 어떤거랑 먹어야 잘 어울려?ㅋㅋ
무난하게 한국 음식에도 어울리는 편이더라ㅋㅋ. 그래서 나는 김치전이랑 먹음ㅋㅋ
그럼 나도 김치전이랑 같이 먹어봐야겠다ㅋㅋ. 이거 일반 맥주보다는 용량은 적지?
응ㅋㅋ. 340ml로 적은편인데 생맥주처럼 마실 수 있어서 즐겨먹기에는 좋더라!
나도 드디어 아사히 생맥주 캔을 먹어보는구나ㅋㅋ
나 그런데 상온에 두었던거라 냉장고에 좀 넣어놓고 먹는걸 추천해ㅋㅋ. 온도가 12도 이상일때 개봉시 거품이 넘칠 수 있거든ㅋㅋ
그럼 하루정도는 냉장고에 넣어두어야겠다ㅋㅋ. 아니면 불금 저녁에 먹어도 되고ㅋㅋ
그거 좋겠다ㅋㅋ. 일 마무리하고나서 혼맥을 즐겨주는거지ㅋㅋ
아 벌써 입가에 침이 고인다ㅠㅠ. 빨리 먹어보고 싶어ㅋㅋ
담백하고 단맛이 적긴한데ㅋㅋ. 부드러운게 진짜 일품임ㅋㅋ
더이상 말하지마ㅠㅠ. 나 벌써 입에 맥주향이 감도는 거 같아ㅋㅋ"
420,건강 및 식음료,"'런던 베이글 뮤지엄', 잠실 상륙","나 주말에 친구랑 약속 잡혔어
무슨 약속? 맛있는거 먹으러 가?
응. 핫플 가보려 해.ㅋ 맛집도 가구
그래! 친구랑 재밌게 놀고 와.ㅎ
웅웅. 근데 빵 맛집 가보고 싶은데 혹시 잠실에 괜찮은 곳 알아?
그럼 잠실에 새로 연 런던 베이글 뮤지엄으로 가봐
거기는 베이글만 파는 곳이야?
아니. 베이글도 팔고 커피도 팔고... 여러가지 팔아~
그렇구나. 혹시 몇시부터 열어?
10시 30분부터 열어! 근데 요즘 손님이 많아서 대기해야할거야.ㅎ
알았엉.ㅎㅎ 주소 좀 알려줄래?
서울시 송파구 올림픽로 300 1층에 있어!
그래. 친구한테 위치 전해놔야겠다.ㅎ
응. 가서 맛있는 베이글 많이 먹고와
벌써부터 넘 신난다. 돼지런하게 먹어야지.ㅋ
맛있게 먹고 인별에도 사진 올려~"
282,건강 및 식음료,코로나19,"와 진짜 코로나19 백신 3차 접종 완료율이 국내 전체인구의 절반을 넘었어
레알? 언제부터 시작된 건데?
25일에 발표됐어, 3차 접종 완료율이 가운데 절반 이상이라더라
그래도 계속 이상 반응 신고가 나오는 건가?
맞아 질병관리청 보고서에 따르면 이상 반응 의심 신고건수가 44만623건이야
이상 반응이라고 하면 어떤 증상들이 있었던 거야?
대부분은 일반이상 반응이었어, 통증이나 두통, 오한, 근육통, 발열 등
일반적인 증상들이었구나, 중대 이상 반응은 얼마였어?
중대 이상 반응은 3.8%였어, 그런데 차수별로는 차이가 없었어
1차, 2차, 3차로 접종한 사람들의 비율은 어떻게 되었어?
1차 접종자의 경우 95.8%가 일반이상 반응이었고, 4.2%가 중대 이상 반응이었어
2차 접종자의 경우는 어땠어?
2차 접종자의 경우 96.9%가 일반이상 반응, 3.1%가 중대 이상 반응이었어
3차 접종자는 어떻게 됐어?
3차 접종자의 경우 96.3%가 일반이상 반응이었고, 3.7%가 중대 이상 반응이었어
아직도 이상 반응이 나오는 건 조금 걱정이네"
414,건강 및 식음료,"'런던 베이글 뮤지엄', 잠실 상륙","야, 너 지금 뭐해?
그냥 집에서 쉬고 있는데...왜?
그럼 나랑 런던 베이글 뮤지엄에 가지 않을래? 새로 오픈했다던데...
베이글 뮤지엄? 무슨 박물관 이름이야?
ㅎㅎ 그게 아니고 SNS에서 유명한 베이글 맛집이야. 이미 안국에 첫 번째 매장을 열었다구.
아하, 베이글 전문점이구나. 거기엔 어떤 류의 베이글들이 있어?
종류가 다양한데... 트러플, 토마토 허브, 시나몬 피칸 등 여러가지 맛의 베이글들이 있어.
오우, 듣기만 해도 배고파지네. 근데 가격이 좀 비싸진 않으려나?
ㄴㄴ 베이글은 대부분 4천원대야. 다만 샌드위치는 좀 비싸. 만원 정도? 아, 부채도 엄청 싸게 팔아. 천원!
부채? 아니 무슨 베이글 집에서 부채를 팔아? ㅎㅎ.
그거 웨이팅하는 손님들을 위한 거래. 웨이팅이 엄청 길거든.
아니. 빵집이 줄이 뭐 길면 얼마나 길다고...대체 얼마나 걸리길래?
현장접수하면 대기시간이 최대 5시간까지도 걸린다고 하더라구.
와, 5시간 기다리면 맛없없인데...인기가 많나 보네.
핫플이면 5시간은 기본으로 기다린다는 게 요새 마인드지 머. 그래도 나는 캐치테이블 앱으로 예약할 거니까 걱정 마.
알겠엉. 그럼 갈 때 톡 한번 줘."
332,건강 및 식음료,코로나19,"익스피디아가 올해 여행 트렌드 발표했어
와! 어떤 트렌드야?
코로나19 상황이 여행에도 영향을 미칠 것 같아
그래서 어떤 변화가 있을까?
익스피디아 조사에 따르면 국내여행이 늘어날 것 같아
글쿠나. 국내여행지 중에서 어디가 인기 있을까?
충청도와 전라도, 경상도가 상승했대
소도시 여행이 유행인가봐
맞아! 전세계적 트렌드래
그럼 해외여행은 어떨까?
프랑스 여행객은 몽펠리에, 영국 여행객은 데본을 선호했대
한적한 지역을 찾는구나
숙박가격도 변화가 있었어
어떤 변화가 있었어?
숙박가격이 수요일에 가장 비싸다고 해
수요일에 여행을 가는 건 좀 힘들겠네"
130,건강 및 식음료,아사히 생맥주 캔 유행,"아사히 캔맥주 요새 많이들 찾는다며? 나는 아직 못 봤어. 너는 마셔봤어? ㅎㅎ
응응. 우리 동네 주류점에 들어왔다기에 바로 집어서 마셔봤지. ㅎㅎ
오... 나도 먹고 싶다 ㅎㅎ. 얼마나 했어? ㅎㅎ
이 동네 주류점은 하나에 삼천오백 원이더라고. ㅎㅎ
삼천오백 원이면 가격 대비 괜찮네 ㅎㅎ. 아사히 캔맥주가 다른 맥주 캔하고 차이가 뭐야?
캔 전체가 열리는 거야 ㅎㅎ. 뚜껑 열면 부드러운 거품이 솟구쳐서 이게 진짜 매력 포인트야. ㅎㅎ
부드러운 거품이라... 땡기네. 시원하지 않아도 맛있어?
맥주는 당연히 차가울 때가 최고지 ㅎㅎ. 캔에도 여섯 시간 이상 냉장 후 마시라고 적혀 있어. 진짜 차갑게 마실 때 맛이 더 좋아. ㅎㅎ
구하기 어려우니까 더 당기는 것 같아 ㅠㅠ. 아사히 캔맥주가 왜 이렇게 인기 있어?
얻기 힘든 그 희귀성과 캔 디자인이 특별해서 아사히 수퍼드라이 캔맥주가 대세가 된 거야. ㅎㅎ
앞으로 좀 더 쉽게 구할 수 있을까? ㅠㅠ
요즘은 대형 슈퍼마켓에도 재고가 있다니까 곧 더 구하기 쉬워질 거야.
아사히가 이런 유행템을 만들어낸 것도 대단하네 ㅎㅎ. 어떻게 이런 걸 만들었을까? ㅎㅎ
아사히에서는 이 뚜껑과 거품 나오는 걸 만들기 위해 네 년 간 연구했다고 해 ㅎㅎ. 그 덕에 맛만 아니라 재미도 있는 맥주 캔을 선보이게 된 거야. ㅎㅎ
그랬구나 ㅎㅎ. 나도 이제 편의점 말고 대형 슈퍼에서 아사히 캔맥주 찾아봐야겠다. ㅎㅎ
ㅎㅎ 그래 ㅎㅎ. 이 근처 주류점에 다시 들어오면 알려줄게. ㅎㅎ"
3181,경제 및 사회,반도체,"와 레알 삼성전자 실적이 충격적이네
응 69%나 줄었다는데 ㅠㅠ
특히 반도체 부문이 제일 크게 줄었대
반도체가 삼성전자 영업익의 60~70%를 차지하는 걸로 알아
짜짜? 그렇게 중요한 사업이었구나
응, 그래서 삼성전자는 간신히 적자를 면했대
적자를 면했지만 2009년 이후로 가장 낮은 수치래
SK하이닉스도 영업손실로 적자 전환이 됐대
SK하이닉스도 엄청 큰 손실을 봤구나
맞아 그만큼 반도체 산업이 어렵구나
반도체는 우리 수출의 19%를 차지하는 수출 1위 품목이래
그래서 한국 경제에도 엄청 중요한 역할을 하지
글쿠나, 그래서 한국 경제는 반도체가 안 좋아질 때마다 위기에 처하겠구나
마좌 1997년, 1998년, 2008년에도 그랬지
세계적으로도 반도체 산업이 대전이라고 하더라
마좌 세계 1위 업체인 TSMC를 따라잡는 중이라고 하던데"
2233,경제 및 사회,삼성전자,"삼성전자 수어 상담 서비스 ㅇㄸ?
짜짜? 박박이다 ㅋㅋ
응, 청각·언어장애 고객도 편하게 제품 정보와 구매 상담을 받을 수 있어
그러면 수어 통역사랑 화상 상담도 가능한 거야?
마좌 수어 통역사와 3자 간 화상 상담 서비스도 제공해
와우내 그렇게까지 해주다니 레전드다 ㅠㅠ
디테일러라는 삼성전자 제품 전문 상담사도 있어
디테일러? 그게 뭐임?
디테일러는 고객의 라이프스타일에 맞는 제품을 섬세하게 제안하는 사람이야
아하, 그러면 디테일러가 수어 상담도 해주는 거야?
마좌 디테일러도 수어 상담을 할 수 있어
레알 레전드다, 삼성전자는 항상 고객을 생각해주는 것 같아
응, 삼성전자는 고객 접근성을 높이기 위해 노력하고 있어
그래서 온라인으로도 실제 매장과 같은 쇼핑 환경을 제공하는 서비스도 있대
마좌 삼성 VR 스토어나 삼성닷컴 매장 상담 예약 페이지에서도 이용할 수 있어
삼성전자는 짜짜 편리한 서비스를 많이 제공하네"
